i,total_cust_per_edge,min_cust_per_edge,max_cust_per_edge,median_cust_per_edge,mean_cust_per_edge,agents,segments,msmap_output
0,601,1,30,13,12.26530612244898,16,8,SAT2
1,650,1,30,14,13.26530612244898,16,8,SAT2
2,628,3,30,13,12.816326530612244,17,8,SAT2
3,617,1,30,12,12.591836734693878,17,8,SAT2
4,711,1,30,16,14.510204081632653,19,8,SAT2
5,635,2,30,9,12.959183673469388,17,8,SAT2
6,550,2,30,7,11.224489795918368,15,8,SAT2
7,659,2,29,13,13.448979591836734,18,8,SAT2
8,538,1,30,9,10.979591836734693,13,8,SAT2
9,580,1,29,12,11.83673469387755,14,8,SAT2
10,685,1,30,13,13.979591836734693,18,8,SAT2
11,583,1,30,11,11.89795918367347,15,8,SAT2
12,607,1,30,14,12.387755102040817,16,8,SAT2
13,612,1,30,12,12.489795918367347,16,8,SAT2
14,680,2,30,13,13.877551020408163,18,8,SAT2
15,586,2,29,11,11.959183673469388,16,8,SAT2
16,640,2,29,12,13.061224489795919,16,8,SAT2
17,603,2,30,11,12.306122448979592,17,8,SAT2
18,704,1,30,16,14.36734693877551,19,8,SAT2
19,691,5,30,15,14.10204081632653,17,8,SAT2
20,635,2,30,13,12.959183673469388,17,8,SAT2
21,508,1,30,9,10.36734693877551,14,8,SAT2
22,634,1,30,13,12.938775510204081,16,8,SAT2
23,695,1,30,13,14.183673469387756,18,8,SAT2
24,604,1,30,13,12.326530612244898,17,8,SAT2
25,695,1,30,15,14.183673469387756,18,8,SAT2
26,664,2,30,15,13.551020408163266,18,8,SAT2
27,685,1,30,15,13.979591836734693,17,8,SAT2
28,656,1,30,14,13.387755102040817,17,8,SAT2
29,628,2,30,10,12.816326530612244,18,8,SAT2
30,664,2,30,13,13.551020408163266,18,8,SAT2
31,668,2,29,15,13.63265306122449,17,8,SAT2
32,533,1,30,10,10.877551020408163,15,8,SAT2
33,585,1,30,11,11.938775510204081,15,8,SAT2
34,688,1,30,14,14.040816326530612,19,8,SAT2
35,578,1,29,11,11.795918367346939,15,8,SAT2
36,587,1,30,11,11.979591836734693,16,8,SAT2
37,618,2,28,12,12.612244897959183,16,7,SAT2
38,665,1,30,14,13.571428571428571,18,8,SAT2
39,625,2,30,13,12.755102040816327,17,8,SAT2
40,635,1,30,13,12.959183673469388,17,8,SAT2
41,655,1,30,13,13.36734693877551,17,8,SAT2
42,588,1,30,10,12.0,17,8,SAT2
43,543,2,30,10,11.081632653061224,14,8,SAT2
44,568,1,30,12,11.591836734693878,15,8,SAT2
45,586,1,30,11,11.959183673469388,15,8,SAT2
46,607,1,30,10,12.387755102040817,16,8,SAT2
47,637,1,30,14,13.0,17,8,SAT2
48,701,1,30,15,14.306122448979592,18,8,SAT2
49,567,1,30,9,11.571428571428571,16,8,SAT2
50,662,1,30,13,13.510204081632653,17,8,SAT2
51,672,2,30,11,13.714285714285714,18,8,SAT2
52,661,1,30,14,13.489795918367347,17,8,SAT2
53,580,1,30,12,11.83673469387755,14,8,SAT2
54,562,1,30,10,11.46938775510204,15,8,SAT2
55,563,1,30,10,11.489795918367347,15,8,SAT2
56,565,1,30,12,11.53061224489796,15,8,SAT2
57,530,1,29,7,10.816326530612244,15,8,SAT2
58,665,3,29,16,13.571428571428571,18,8,SAT2
59,535,1,29,9,10.918367346938776,15,8,SAT2
60,628,1,30,11,12.816326530612244,17,8,SAT2
61,574,1,30,9,11.714285714285714,15,8,SAT2
62,610,2,28,12,12.448979591836734,16,7,SAT2
63,630,2,30,12,12.857142857142858,17,8,SAT2
64,630,1,30,11,12.857142857142858,18,8,SAT2
65,546,1,30,9,11.142857142857142,15,8,SAT2
66,618,1,29,12,12.612244897959183,15,8,SAT2
67,600,2,30,13,12.244897959183673,15,8,SAT2
68,601,1,29,12,12.26530612244898,16,8,SAT2
69,598,1,28,14,12.204081632653061,16,7,SAT2
70,653,2,29,13,13.326530612244898,17,8,SAT2
71,616,1,29,12,12.571428571428571,15,8,SAT2
72,610,1,30,11,12.448979591836734,16,8,SAT2
73,563,2,28,11,11.489795918367347,14,7,SAT2
74,619,1,30,13,12.63265306122449,16,8,SAT2
75,613,1,30,13,12.510204081632653,17,8,SAT2
76,625,2,30,12,12.755102040816327,16,8,SAT2
77,604,1,29,12,12.326530612244898,16,8,SAT2
78,570,2,30,10,11.63265306122449,14,8,SAT2
79,637,1,30,12,13.0,17,8,SAT2
80,595,1,29,11,12.142857142857142,16,8,SAT2
81,517,1,30,8,10.551020408163266,13,8,SAT2
82,676,2,30,14,13.795918367346939,18,8,SAT2
83,599,2,30,11,12.224489795918368,16,8,SAT2
84,710,1,30,14,14.489795918367347,18,8,SAT2
85,580,1,30,10,11.83673469387755,16,8,SAT2
86,658,2,30,14,13.428571428571429,16,8,SAT2
87,640,1,30,12,13.061224489795919,17,8,SAT2
88,676,2,30,14,13.795918367346939,18,8,SAT2
89,605,1,30,12,12.346938775510203,16,8,SAT2
90,497,1,28,8,10.142857142857142,13,7,SAT2
91,534,1,30,9,10.89795918367347,14,8,SAT2
92,737,2,30,17,15.040816326530612,19,8,SAT2
93,635,1,30,13,12.959183673469388,16,8,SAT2
94,644,1,30,12,13.142857142857142,17,8,SAT2
95,642,1,30,13,13.10204081632653,18,8,SAT2
96,544,1,30,11,11.10204081632653,15,8,SAT2
97,594,1,30,11,12.122448979591837,16,8,SAT2
98,555,2,29,8,11.326530612244898,14,8,SAT2
99,684,1,29,15,13.959183673469388,18,8,SAT2
i,total_cust_per_edge,min_cust_per_edge,max_cust_per_edge,median_cust_per_edge,mean_cust_per_edge,agents,segments,msmap_output
0,649,3,30,13,13.244897959183673,17,11,SAT2
1,659,1,30,14,13.448979591836734,17,11,SAT2
2,642,3,30,14,13.10204081632653,15,12,SAT2
3,633,1,30,12,12.918367346938776,16,11,SAT2
4,693,1,30,15,14.142857142857142,18,11,SAT2
5,650,2,30,10,13.26530612244898,16,12,SAT2
6,546,1,30,7,11.142857142857142,15,10,SAT2
7,659,2,29,13,13.448979591836734,18,11,SAT2
8,538,1,30,9,10.979591836734693,13,12,SAT2
9,580,1,29,12,11.83673469387755,14,12,SAT2
10,685,1,30,13,13.979591836734693,18,11,SAT2
11,583,1,30,11,11.89795918367347,15,11,SAT2
12,607,1,30,14,12.387755102040817,16,11,SAT2
13,612,1,30,12,12.489795918367347,16,11,SAT2
14,680,2,30,13,13.877551020408163,18,11,SAT2
15,586,2,29,11,11.959183673469388,16,10,SAT2
16,640,2,29,12,13.061224489795919,16,12,SAT2
17,603,2,30,11,12.306122448979592,17,10,SAT2
18,704,1,30,16,14.36734693877551,19,11,SAT2
19,691,5,30,15,14.10204081632653,17,12,SAT2
20,635,2,30,13,12.959183673469388,17,11,SAT2
21,508,1,30,9,10.36734693877551,14,11,SAT2
22,634,1,30,13,12.938775510204081,16,11,SAT2
23,695,1,30,13,14.183673469387756,18,11,SAT2
24,604,1,30,13,12.326530612244898,17,10,SAT2
25,695,1,30,15,14.183673469387756,18,11,SAT2
26,664,2,30,15,13.551020408163266,18,11,SAT2
27,685,1,30,15,13.979591836734693,17,11,SAT2
28,656,1,30,14,13.387755102040817,17,11,SAT2
29,628,2,30,10,12.816326530612244,18,10,SAT2
30,664,2,30,13,13.551020408163266,18,11,SAT2
31,668,2,29,15,13.63265306122449,17,11,SAT2
32,533,1,30,10,10.877551020408163,15,11,SAT2
33,585,1,30,11,11.938775510204081,15,11,SAT2
34,688,1,30,14,14.040816326530612,19,10,SAT2
35,578,1,29,11,11.795918367346939,15,11,SAT2
36,587,1,30,11,11.979591836734693,16,11,SAT2
37,618,2,28,12,12.612244897959183,16,11,SAT2
38,665,1,30,14,13.571428571428571,18,11,SAT2
39,625,2,30,13,12.755102040816327,17,10,SAT2
40,635,1,30,13,12.959183673469388,17,11,SAT2
41,655,1,30,13,13.36734693877551,17,11,SAT2
42,588,1,30,10,12.0,17,10,SAT2
43,543,2,30,10,11.081632653061224,14,11,SAT2
44,568,1,30,12,11.591836734693878,15,11,SAT2
45,586,1,30,11,11.959183673469388,15,11,SAT2
46,607,1,30,10,12.387755102040817,16,11,SAT2
47,637,1,30,14,13.0,17,11,SAT2
48,701,1,30,15,14.306122448979592,18,11,UNSAT
49,567,1,30,9,11.571428571428571,16,10,SAT2
50,662,1,30,13,13.510204081632653,17,11,SAT2
51,672,2,30,11,13.714285714285714,18,11,SAT2
52,661,1,30,14,13.489795918367347,17,11,SAT2
53,580,1,30,12,11.83673469387755,14,12,SAT2
54,562,1,30,10,11.46938775510204,15,11,SAT2
55,563,1,30,10,11.489795918367347,15,11,SAT2
56,565,1,30,12,11.53061224489796,15,11,SAT2
57,530,1,29,7,10.816326530612244,15,10,SAT2
58,665,3,29,16,13.571428571428571,18,10,SAT2
59,535,1,29,9,10.918367346938776,15,11,SAT2
60,628,1,30,11,12.816326530612244,17,11,SAT2
61,574,1,30,9,11.714285714285714,15,11,SAT2
62,610,2,28,12,12.448979591836734,16,11,SAT2
63,630,2,30,12,12.857142857142858,17,11,SAT2
64,630,1,30,11,12.857142857142858,18,10,SAT2
65,546,1,30,9,11.142857142857142,15,11,SAT2
66,618,1,29,12,12.612244897959183,15,12,SAT2
67,600,2,30,13,12.244897959183673,15,11,SAT2
68,601,1,29,12,12.26530612244898,16,11,SAT2
69,598,1,28,14,12.204081632653061,16,11,SAT2
70,653,2,29,13,13.326530612244898,17,11,SAT2
71,616,1,29,12,12.571428571428571,15,12,SAT2
72,610,1,30,11,12.448979591836734,16,11,SAT2
73,563,2,28,11,11.489795918367347,14,11,SAT2
74,619,1,30,13,12.63265306122449,16,11,SAT2
75,613,1,30,13,12.510204081632653,17,10,SAT2
76,625,2,30,12,12.755102040816327,16,11,SAT2
77,604,1,29,12,12.326530612244898,16,11,SAT2
78,570,2,30,10,11.63265306122449,14,12,SAT2
79,637,1,30,12,13.0,17,11,SAT2
80,595,1,29,11,12.142857142857142,16,11,SAT2
81,517,1,30,8,10.551020408163266,13,12,SAT2
82,676,2,30,14,13.795918367346939,18,11,SAT2
83,599,2,30,11,12.224489795918368,16,11,SAT2
84,710,1,30,14,14.489795918367347,18,11,SAT2
85,580,1,30,10,11.83673469387755,16,10,SAT2
86,658,2,30,14,13.428571428571429,16,12,SAT2
87,640,1,30,12,13.061224489795919,17,11,SAT2
88,676,2,30,14,13.795918367346939,18,11,SAT2
89,605,1,30,12,12.346938775510203,16,11,SAT2
90,497,1,28,8,10.142857142857142,13,11,SAT2
91,534,1,30,9,10.89795918367347,14,11,SAT2
92,737,2,30,17,15.040816326530612,19,11,SAT2
93,635,1,30,13,12.959183673469388,16,12,SAT2
94,644,1,30,12,13.142857142857142,17,11,UNSAT
95,642,1,30,13,13.10204081632653,18,10,SAT2
96,544,1,30,11,11.10204081632653,15,10,SAT2
97,594,1,30,11,12.122448979591837,16,11,SAT2
98,555,2,29,8,11.326530612244898,14,12,SAT2
99,684,1,29,15,13.959183673469388,18,11,SAT2
